Question,Category
What is meant by Asymmetric Cryptography? Differentiate the use of Asymmetric Cryptography in public key encryption and Digital signature.,Understand
You have been requested to do an encryption using Polyalphabetic substitution technique to encrypt the sentence,Apply
What are the three (03) main causes of unethical or illegal behavior in Information Security? How can be deterred each of them?,Understand
What are the three (03) main security controls need to be implemented for a successful security policy?,Understand
"Define the terms policies, standards and practices in information security. Illustrate the relationship among them?",Understand
What are the five (05) criteria to establish and enforce policy to maintain Information security? Explain them briefly.,Understand
Briefly explain three (03) main critical characteristic of information in the principle of information security.,Understand
What is meant by Digital forensics? Differentiate Digital Forensics and Data Recovery clearly?,Understand
Name any five (05) types of Digital forensics.,Remember
Briefly explain the five (05) basic stages of Digital forensics process.,Understand
What is e-commerce? List down five (05) advantages of e-commerce in technology perspective.,Remember
Briefly define with example the following major types of e-commerce:,Understand
There are key elements to produce good business model. Briefly explain the following key elements,Understand
"Discuss, five (05) potential limitations on the growth of B2C e-commerce.",Understand
What advantages does client/server computing have over mainframe computing?,Understand
Briefly describe the benefits (04) of Internet-II Technology.,Understand
What are the issues involved in choosing the most appropriate hardware for an e-commerce site?,Analyze
Scalability of hardware is one of the important factors in e-commerce site design. Explain (with illustration) the two different ways of scaling the hardware.,Understand
Identify five (05) most common and most damaging forms of security threats to e-commerce sites. Briefly describe each.,Understand
"Describe how technology helps secure Internet communications channels and protect networks, servers, and clients.",Understand
Describe the features and functionality of electronic billing presentment and payment systems.,Understand
What are the major similarities and differences between exchanges and e-distributors?,Understand
What are the two (02) advantages and two (02) disadvantages of online advertising? Provide two (02) each,Understand
What is clickstream behavior and how is it used by marketers?,Understand
How does marketing on LinkedIn differ from marketing on other social networks?,Understand
"Define the term ""supply chain"" and explain how Supply Chain Management (SCM) systems attempt to support the e-commerce.",Understand
Define leadership and relate it with different powers,Understand
Differentiate between leaders and managers,Understand
Write short note on upward communication,Remember
List different categories of managerial roles and describe how to apply them in an organizational setting,Understand
Explain about how Theory X and Theory Y can be applied to an organization of your choice,Understand
Write a brief note on interviewing.,Remember
Diagrammatically explain the conflict process,Understand
Outline different components of attitudes,Understand
"Describe about ""The Big Five Personality Theory""",Understand
"Outline about Vision, Mission, Values, Strategies, Goals, Objectives and Action plan and indicate the link between them",Understand
"Assume that you are a Junior IT Manager working in a reputed organization. You are in-charge for receiving orders for IT equipment. In the past, you received more orders for various IT equipment’s. Recently, you receive poor orders.",Analyze
"Assume that you wish to make an oral presentation on ""Leadership and Communication Skills"". List what key areas you will consider for making such presentation",Apply
"What does the acronym URI, stands for?",Remember
Identify which of the following is not a valid URL format and explain why,Analyze
In the basic Client- Server model describe briefly major characteristics of the client software.,Understand
All web documents can be grouped into three categories according to the time at which the document contents are determined. Describe briefly these three categories.,Understand
A programmer knows that cookies may compromise the information on the servers that he uses. Explain briefly the role of a cookie.,Understand
Briefly explain three major uses of scripting language on the client side. Give one reason why server-side scripting is essential.,Understand
Detailly describe the major characteristic of the following internet technologies,Understand
Name two popular web servers. Describe the operations of both a web server and a mail server?,Understand
Describe two common internet protocols (other than FTP & HTTP) with their usages.,Understand
Describe the role of HTTP and FTP in transmitting/transferring information over the internet. Compare these roles against the role of POP.,Understand
Compare and contrast peer-to-peer and client/server network architectures by illustrating with examples where each type is appropriate than else.,Analyze
Answer the following questions based on the sample HTTP response below.,Analyze
Write down TWO examples for Client side programming languages and TWO examples for Server side programming languages.,Remember
What is meant by Service Oriented Architecture?,Understand
"""We can replace HTML by XML"". Briefly explain this statement.",Understand
What is called Tight coupling?,Remember
"""We can use GET method instead of PUT method to create a resource"". Do you agree with this statement?",Evaluate
What are the advantages of using PHP in web development?,Understand
"Using PHP, set up an array to hold the following values in their order: 12, 34, 52, 27, 13, and 40. Write a program to get the average of above numbers.",Apply
"Briefly describe following ""Supergloble variables"".",Understand
"Create the following index.html, style.ess and script.js files.",Create
Write the structure of the HTML page and link all CSS and JS files into index.html,Create
Write the code for producing the output page as Fig-01.,Create
Validate your form's text boxes using JavaScript Validation as follow.,Apply
Write the code for develop the login form in fig-02 and Registration form as Fig-03.,Create
Validate the Registration form to check the empty value of textboxes.,Apply
Register two user called admin and student,Apply
"If the user Login with admin status, it must redirect to dashboard.php file with 'Welcome Admin'",Apply
Create a table called student table in examdb and insert three recodes.,Apply
Create a connection between form (studentform.php) and database (examdb) using php.,Apply
If the student data inserted successfully it should redirect to view.php and it should show all student's details in table format,Apply
"Additionally, add two (02) more columns with the title ""Edit"" and ""Delete"" in student table.",Apply
"Write php code for the delete action, when click the delete link a pop up message ask the conformation of delete process and if yes it delete from the database.",Apply
Briefly discuss the differences between Microcontroller and Microprocessor.,Understand
Why is the Reduced Instruction Set Computer (RISC) Architecture suitable for Microcontroller over Complex Instruction Set Computer (CISC)?,Understand
List down all the types of memories are used in Microcontroller. Why is EEPROM better than EPROM?,Understand
Write short notes on following terms.,Understand
Why do we use low level programming language to program microcontrollers?,Understand
What are the two types of serial communications and briefly describe each of them?,Understand
"Describe the term ""Baud Rate"". If we have crystal of frequency 11.059M Hz and we want to configure the serial port to 19200 baud rate, Calculate the value loaded in Timer Register TH1 when SMOD=0 and SMOD=1",Apply
List out five (05) types of storage registers which are used in Microcontroller.  Write the Mnemonic instruction to Adds the Register to the Accumulator with carry flag.,Understand
What is social computing? Briefly explain the social computing by providing two examples.,Understand
List down five (05) purposes of social computing in five (05) different domains.,Understand
What is web 2.0? Compare and contrast web 2.0 & web 1.0,Analyze
What is digital divide? State how digital affects the students in the state universities.,Understand
Who can be the victims of the digital divide? List down five (05) ways to reduce the gap in digital divide.,Understand
Account on five (05) major internet related risks.,Understand
What are the five (05) ways to overcome internet related risks among the children?,Understand
Briefly explain the purposes of human computer interaction in the social view point? List down minimum five (05) of them.,Understand
"What is meant by ""ergonomics""?",Understand
 Briefly describe of the significance of e-governance in the followings:,Understand
Provide five (05) suggestions to enhance the e-governance in regard of ICT application and adoption.,Understand
What is cloud computing? State three (03) advantages of cloud computing and explain them briefly.,Understand
List out three (03) common and three (03) essential characteristics of cloud computing,Understand
What is virtualization? What are the four (04) advantages of virtualization?,Understand
What are the three (03) challenges of cloud computing? Explain in brief,Understand
Are there any outliers in the data set?,Analyze
Draw the probability plot (P-P plot) and discuss the behaviors,Analyze
"Compute the sample mean, median, mode, variance and standard deviation",Apply
"Discuss the skewness of the distribution. Based on the results, comment on the shape of the distribution.",Analyze
Examine the descriptive statistics and discuss the general shapes of the distributions.,Analyze
Calculate 99% confidence interval for the best estimator that describe in part (a).,Apply
Discuss the correlation between Hart Rate and Age.,Analyze
Plot Hart Rate against the Age. Does it appear that a simple linear regression model will be a suitable model?,Analyze
Estimate the regression equation and discuss the model validations,Analyze
Construct the scatter plot.,Apply
Calculate correlation coefficient between Age and Glucose Level. Write down your comments?,Analyze
What is the general shape of the distribution?,Analyze
Examine the descriptive statistics. Which statistic do you think best estimates the center of the distribution?,Analyze
Calculate 99% confidence interval for the best estimator that describes in part b,Apply
"What is ""Lossless Compression""?",Remember
Differentiate Composite Analog Video from Component Analog Video from their basic definitions.,Understand
Briefly explain the categories of Animation,Understand
Define the following terminologies,Remember
State the Nyquist Sampling Theorem.,Remember
Calculate the size of the audio in MB if its recording is 60 minutes long?,Apply
Find the Data Transfer Rate in MB /minute,Apply
Compare and Contrast MIDI and Digital Audio.,Analyze
Define the following terminologies used in Video Editing,Remember
"Define the term ""Multimedia'""?",Understand
Briefly explain the above statement.,Understand
Mention two (02) advantages of compressing a multimedia file.,Understand
Differentiate the Path Animation from the Frame Animation using their primary definition.,Understand
Write brief notes on any two of the following Broadcast Video Standards.,Understand
List out the disadvantages of compositing video components as one signal.,Understand
"Briefly describe the differences between a ""Synchronous Multimedia Application"" and an -Asynchronous Multimedia Application"".",Understand
What is the bit depth of such monitor?,Understand
Calculate the number of unique colours that could be represented by such monitor,Apply
Classify them with a suitable example for each category,Analyze
"Differentiate ""Lossy Compression"" from ""Lossless Compression"".",Understand
"List out the essential properties of an ""Interactive Multimedia"".",Understand
"What is ""MPC""?",Remember
Give a file format used for each of the components of Multimedia.,Remember
"Explain the role of ""Multimedia Evaluation"" in developing a Multimedia Product.",Understand
Define the following terminologies used in Video Editing.,Remember
List five uses of computer networks,Remember
Explain the difference between synchronous and asynchronous data transmission?,Understand
Explain the following channel effect on data transmission.,Understand
What is a Network Topology?,Understand
Briefly explain the following network topology,Understand
What is data transmission media? Explain the various media used for data transmission in computer networks.,Understand
Mention the advantages of fiber optics media compare with other media,Understand
What is client-server network? Explain the advantages of client-server network,Understand
List the seven layers of the Open Systems Interconnection (OSI) reference model.,Remember
Explain the main function of any four layers of the OSI reference model.,Understand
Briefly explain the following switching techniques.,Understand
What is an IP Address?,Remember
Answer the followings.,Understand
Explain the differences of IPv4 and IPv6.,Understand
Explain the basic functions of the following network devices.,Understand
Define class and object in Object Oriented Programming (OOP).,Understand
Compare and contrast the constructors and methods.,Analyze
"Will the following code compile without any errors? If yes, then what will be the output? If no, then find out the errors.",Evaluate
What are the various access specifiers available for Java classes?,Remember
What are the benefits of using inheritance,Understand
Explain the concept with the aid of a simple example that multiple inheritance is supported in Java through interfaces,Understand
What are the differences between abstract class and interface,Understand
Can we declare a class as Abstract without having any abstract method? Briefly explain your statement.,Understand
Can an abstract class have constructors in. Java? Briefly explain your statement,Understand
In which situations you may prefer to use the keyword 'this' in Java programming? (specify three (03) situations).,Understand
List out and describe the types of inheritance supported in Java,Understand
Write a simple program by applying OOP concepts to count the number of occurrences of any character in a given string.,Apply
What are the benefits of using inheritance,Understand
Explain the concept with the aid of a simple example that multiple inheritance is supported in Java through interfaces,Apply
What will be the output for the following code of the program?,Evaluate
Write the difference between method overriding and overloading in Java,Understand
"Describe the term ""Web"" in your own words",Understand
What is the difference between a webpage and a website?,Understand
Compare and contrast static webpage and dynamic webpage,Analyze
Define the term web application and give two (02) examples for web application.,Remember
What is meant by web hosting?,Understand
Define the term Internet and mention three (05) the internet services,Remember
Briefly explain the relationship between the Internet and WWW,Understand
State is what is URL and write the syntax of an URL,Remember
What is meant by protocol and Ove two (02) protocols relevant to web and internet.,Understand
Briefly discuss how HTTP works.,Understand
What are the limitations of HTTP?,Understand
Differentiate between HTTP and HTTPS,Understand
State what is web designing,Understand
Briefly discuss the phases of web designing process,Understand
Mention five (05) important skill needed for a web designer,Remember
Write short notes for the following,Understand
Write a Java program to fulfill the following requirements of a usual Banking system,Create
Request the user to enter their choice from the above MENU list,Apply
Implement the appropriate methods to complete the tasks mentioned in the above MENU list.,Create
"If a user enters 2, then your system should do the function in deposit to a bank account.",Apply
"If a user enters 3, then your system should do the withdrawal function in the bank account.",Apply
"If a user enters 4, then your system should do the function Print account-information to display the information of the account given as input.",Apply
Create a superclass called Car with the following variables,Create
Create a subclass Truck of Car class with the following special attribute:,Create
"Create another subclass of Car and name it as Ford. Within the class, create the following fields:",Create
Define the term Distributed System? Give two (02) examples of Distributed System.,Remember
Briefly explain three (03) advantages of Distributed System.,Understand
State 03 (three) advantages of workstation-server model over workstation model.,Understand
Illustrate Mini-Computer Model with a suitable Diagram,Create
Explain the validity of the following statement.,Evaluate
What is meant by Open Distributed System?,Understand
Briefly explain the importance of such standard for distributed systems.,Understand
State the Basic Standards of RM-ODP,Remember
What is a Viewpoint in RM-ODP? List out the generic viewpoints provided by RM- ODP framework,Remember
Distribution transparency provides a uniform simplified view of the distributed system for the programmer and end user. Briefly explain three (03) of the distribution transparencies.,Understand
Differentiate Layered architecture from Object-based architecture. Use suitable diagrams in support of your answer.,Analyze
Three-tier Architecture of Distributed Systems consists of User-Interface Level. Processing level and Data Level. Explain how an Internet Search Engine works based on this architecture.,Understand
Write short notes on one of the following hybrid architectures.,Understand
Differentiate Direct Communication from Indirect Communication of Message Passing Model. Compare and Contrast the properties of their communication links.,Analyze
Define the following terms involved in Remote Procedure Call (RPC),Remember
Calculate the following using Christian Algorithm,Apply
Briefly explain the Architecture of Remote Method Invocation (RMI) including a suitable diagram.,Understand
List out the three (03) classes of Cloud Computing Services.,Remember
What do you mean by Information Security?,Understand
List out the critical characteristics of information that needs to be ensured,Remember
Differentiate the terms vulnerability and attacks,Understand
A successful organization should have multiple layers of security in place to protect its operations. List out and describe those layers of the security process.,Understand
Write down three essential functions of Information Security performs for an organization,Understand
State any five possible information Security threats to organizations.,Understand
State any five possible information Security threats to organizations.,Understand
"Draw the CNSS Security Model of McCumber cube with the proper labelling, and write the required control or safeguard that addresses for any of the cells of this Cube.",Create
What do you mean by the cryptography,Understand
"Find out the ciphertext of the original message ""SOUTHEASTERN UNIVERSITY OF SRI LANKA"" using the following",Apply
Give some international laws and legal bodies which are related with for Information Security.,Understand
What would be the contents of malicious codes?,Remember
"Describe briefly the term ""Forensics.""",Understand
What are the steps included in investigation triad?,Remember
"Discuss the requirements to investigate, and the recommended steps for an ""Internet Abuse Investigation.""",Remember
What type of security was dominant in the early years of computing?,Understand
Briefly describe the following major types of e-commerce;,Understand
Write down three (03) key elements of a business model and account on each of it.,Understand
Briefly explain the followings in the context of B to C:,Understand
Define what is cloud computing? Provide three (03) advantages and three (03) risks of cloud computing by providing suitable examples.,Understand
"Briefly describe what is ""click stream behavior"" in online consumer behavior model and list down at -least three factors of click stream behavior.",Understand
"Briefly describe the followings in regards to ""Revolution in Internet Marketing Technologies"".",Understand
List three (03) -Factors to be considered in website optimization. Briefly describe each of them.,Understand
List important factors to be considered when an E-Commerce site is developed. Briefly describe each of the factors.,Understand
Briefly describe three (03) advantages and three (03) disadvantages of online advertisement.,Understand
Briefly describe what social marketing is and explain why social marketing is important. State three (03) risks associated with social marketing?,Understand
State five (05) most common security threads in the E-commerce environment and briefly describe each of them.,Understand
"Explain the security threads in 4(a), can be mitigated.",Understand
Define what encryption is. Briefly explain two types of encryption methods available.,Understand
Explain how you will develop the security plan. You should provide the illustration to justify the plan.,Create
"print the message ""CIS 22042 — Practical Examination- with three (03) processes",Apply
to send and receive number 50 (an integer value) from process 0 with two (02) processes,Apply
to calculate the time of an MP1 communication with four (04) processes,Apply
Create an IDL file for the above task,Create
Compile the above IDL file using rpcgen,Apply
Modify your Server Program to calculate the circumference and area for a radius given by client,Create
Modify your Client Program to obtain the radius from user and to display the results,Create
Compile and run your programs to achieve the above task,Apply
Create a Remote Interface Program,Create
Create Remote Class Implementation of the interface in part a.,Create
Compile your Interface and its Implementation programs,Apply
"Using rink command, compile your class file.",Apply
Create the Server Appilication of your program,Create
Create the Client Application of your program,Create
Compile and run your programs to achieve the above task,Apply
Describe all the four elements of transformational leadership.,Understand
What are the activities that managers should avoid in order to make a team successful in its activities? Briefly explain,Understand
Briefly explain the benefits of resolving conflicts in an organization.,Understand
Describe this statement,Understand
What are the tactics that a leader can use to make his/her public speaking successful?,Apply
Briefly explain the tips that an interviewee can use to accomplish this goal.,Understand
Briefly explain about the component of the client-server model and the process which happens in it,Understand
List out five types of server and briefly explain its usages.,Remember
What are the Benefits of N-Tier Architecture?,Understand
Briefly explain the following N-Tier architecture using suitable diagrams,Understand
"Define what is mean by ""Design pattern"".",Understand
Explain why we use Singleton design pattern.,Understand
Briefly explain the Strategy Design pattern and explain its' by using an example,Understand
List out and briefly explain the component of the MVC Design pattern,Remember
"Define what is mean by ""Persistence' And differentiate those two ways",Understand
Fill in the blanks using suitable keywords and words.,Apply
What is a Web Service and how does it work?,Understand
What does the Acronym SOAP stand for? And briefly explain the term.,Remember
Discuss the mechanism of SOAP by using a suitable diagram.,Understand
"Define the term ""SOAP encoding"" and list out the rules for SOAP encoding.",Remember
What is meant by WSDL and write the general structure of WSDL,Understand
Why we use Data Base Management System (DBMS) over the traditional file system and list out the types of DBMS.,Understand
Why we use Data Base Management System (DBMS) over the traditional file system and list out the types of DBMS.,Understand
What is Remote Procedure Call and list out the all steps in RPC?,Remember
Discuss the Stub and Skeleton using a diagram,Understand
Describe the purpose of Software Configuration Management System in the web application development.,Understand
Briefly describe each of the following terminologies.,Understand
Write a PI-IP program to create a Student class. It should have the following two public variables and its constructor() function should be created with two parameters(name and regnum):,Create
"Create a function inside the Student class to display the students' details. Which should be named as ""display()""",Create
"Create a function inside the Student class to display the students' details. Which should be named as ""display()"".",Create
"Define four (04) objects stu1, stu2, stu3 and stu4 respectively.",Remember
Pass the following values to the variables (stuName and stuRegNum) via the created objects.,Apply
Display the above data by using created objects and PHP “echo”,Apply
 Create another class Subject and inherit the Student class,Create
Create an object for the Subject class and call the constructor of the Student class via passing two values (student name and student registration number).,Create
Finally call the display() function using created Subject class.,Apply
"Create a simple web application called as ""DateWebApplication"" in NetBeans IDE by using GlassFish as a server.",Create
Create an index.jsp file under the project.,Create
"Create a simple webpage to check that whether today is a weekday or weekend. Assume that today is a 5th day of the week & 6, 7 are weekend days.",Create
Create a simple webpage to print all the days of a week in different font size as shown below,Create
Create a HTML file email-validate.html with the following user interface,Create
Create a JavaScript file to validate the email using regular expression,Create
Define & differentiate between microcontroller and microprocessor.,Understand
Briefly define the following terms with a suitable example using microcontroller series.,Understand
List out the hardware features of a microcontroller and briefly explain five of them.,Remember
What are the factors that require taking into account choosing a microcontroller for an application?,Understand
Compare and Contrast RISC-based microcontroller and CISC-based microcontroller.,Analyze
What type of microcontroller is PIC,Understand
What do you mean by micro in the microcontroller?,Understand
What is the bit size of the 8051 microcontroller?,Remember
How many analog pins are used in the Arduino Mega board?,Remember
Arduino IDE consists of default functions. What are they?,Remember
What is the microcontroller used in Arduino UNO?,Understand
How many built-in timers in the PIC 18F452 microcontroller,Remember
Which devices are specifically being used for converting serial to pal to serial respectively in the microcontroller?,Remember
"Which of the following statement explains, why the baud rate communication?",Understand
"Define the term ''Enterprise Architecture"".",Understand
Briefly explain your view by giving at least one reason.,Understand
What is the primary goal of Enterprise Architecture?,Understand
State two (02) benefits of Enterprise Architecture in the following sectors.,Remember
Define the term Enterprise Architecture Management (EAM),Understand
What is the difference between Enterprise Architecture (EA) Governance and Information Technology (IT) Governance?,Understand
Describe the role of an Enterprise Architect in terms of Enterprise Architecture Management (EAM),Understand
Match the following key words or phrase with the relevant core activity of Enterprise Architecture Management (EAM) by writing the appropriate letter (A-H),Apply
What is an EA (Enterprise Architecture) framework?,Understand
Define the following frameworks and give one (01) purpose of using those frameworks,Remember
Give one (01) similarity and one (01) difference in between the Water fall model software Development Life Cycle and TOGAF?,Analyze
List out two (02) Architecture Tools?,Remember
Define the term Maturity model relevant to Enterprise Architecture,Understand
A maturity model can be best described with the Maturity Grid and the grid is made up of three parts. What are those parts and define them briefly?,Understand
Use the following Maturity Model Grid to answer the questions below.,Apply
State four (04) reliable published sources that can be used as literature in your final year research project.,Remember
"What is meant by ""peer review""?",Understand
One of the main factors for a reliable source of literature is peer review. State four (04) more factors that would assist one to identify a reliable source,Analyze
List four (04) reliable internet based sources through which one may find reliable literature,Remember
"Out of the sources mentioned above, which source / sources could be more reliable",Evaluate
List five (05) important responsibilities of a research student.,Remember
Briefly explain the importance of maintaining good academic and professional relationship between the research student and a supervisor?,Understand
Generate the animation file (secondAnim.xml) on NetAnim animator,Apply
Upload the secondAnim.xml file into NetAnim animator and export packet table,Apply
Generate Ascii Trace files for both pointtopoint nodes and csma nodes,Apply
Upload the secondPoint2Point.tr file into the TraceMetrics analyzer and export the details about pointtopoint node 1,Apply
Again upload the Secondcsma.tr file into the TraceMetrics analyzer and export the details about csma node 3,Apply
Generate the packet capture(.pcap) file for csma node 2,Apply
Run the csmaNode2 .pcap file on wireshark and save the I/O graph,Apply
"Create ""details.txt"" file using the given table and then create the plot file (name as firstplot.plt) that should satisfy each of the following statements",Create
Run the above plot file(firstplot.plt) on gnuplot program and generate the output (output] .pdf) file.,Apply
"Is a ""bug"" same as a ""vulnerability""? Justify your answer",Evaluate
Explain what is risk and write a definition?,Understand
How a control can solve the risk management problem?,Apply
List out the steps for ISO 27001 standard implementation,Remember
Explain the three methods of mitigating a Distributed Denial — of- Service (DDOS) attack.,Understand
Which country seems to be generating the most attacks,Remember
Which country seems to be the most targeted?,Remember
Explain your methodology. More creative you get more marks you will achieve.,Create
Provide an example for each stating how IPS can change,Apply
Explain the following to code execution in a memory segment,Understand
"Briefly discuss the term ""Mobile Computing"" and ""Android""",Understand
List out five Android operating system version and briefly explain the Android operating system Architecture using a suitable diagram,Remember
Explain the Android Activity lifecycle with suitable diagram by mentioning seven (07) callback methods,Understand
Write short notes on following terms,Remember
Define the term Relative layout and describe the power of Relative Layouts.,Understand
Write short notes for the following layouts;,Remember
Differentiate two types of Intent in Android and briefly express the process which happens when one activity call another activity using Intent.,Understand
List out and explain the Fragment life cycle and explain the purpose of Inflater in Fragment.,Remember
Briefly describe the process when content provider share the data and content resolver receive the data,Understand
Define the following data storage in Android environment.,Remember
What is Service Oriented Architecture (SOA)?,Understand
Explain the following,Understand
Give five (05) characteristics of SOA,Remember
Explain what is Simple Object Access Protocol (SOAP)?,Understand
What are the elements of SOAP message structure?,Remember
What are the syntax rules for SOAP message?,Remember
Mention the advantages of SOAP?,Remember
Explain what is Web Service Description Language (WSDL)?,Understand
Explain what is the WSDL document structure? And mention the general structure of a WSDL file.,Understand
Write the appropriate TAG elements for the followin õ W SDL file created in Visual Studio.,Apply
Explain what is Representational State Transfer (REST)?,Understand
What are the HTTP methods supported by REST?,Remember
Why use JavaScript Object Notation (JSON)?,Understand
Convert the following JSON code to XML,Apply
Design the following layout in android,Create
Create an XML file with the following instructions,Create
"Write the Javascript codes for the following statements, using you above xml file and XML DOM parser.",Apply
Create a simple calculator use WSDL and ASP.Net Web form used visual studio 2013,Create
Create a calculator web service,Create
Create simple calculator look like,Create
Add Service References in calculator user interface project,Apply
What is meant by a Sensor in the context of Embedded Systems?,Understand
Explain how sensors can be classified using one of the schemes specified below,Understand
Give examples for sensors under any two selected schemes specified in above (i).,Apply
Distinguish between an Active Sensor and Passive Sensor,Understand
"Using appropriate examples, briefly describe Actuators commonly used in Embedded Systems.",Apply
What is meant by an interrupt in the context of Embedded Systems?,Understand
State the types of interrupts,Remember
List three communication protocols based on serial communication standards.,Remember
Perform a requirement analysis for a real-time operating system (RTOS) specifically designed for Embedded Systems.,Analyze
Draw the schematic diagram as in Figure 01 (in Page 2) using Proteus software.,Create
Create a Proteus simulation project to simulate your embedded system design.,Create
Write a C program to implement the above specified requirements.,Apply
"What are Supervised Learning, Unsupervised Learning, and Reinforcement Learning?",Understand
Differentiate Regression problems and Classification problems by giving examples.,Analyze
"""Gradient descent is not always the right choice for regression"", Discuss.",Evaluate
Briefly discuss any four feature engineering tasks.,Understand
Compare and contrast the biological neuron cell with the neuron node of an artificial neural network.,Analyze
Compare and contrast Feedforward and Feedback networks.,Analyze
"""Forecasting weather is easier than forecasting stock prices"", Discuss.",Evaluate
List out and discuss five significant hyperparameters to tune in neural networks.,Analyze
Why is stochastic gradient descent is preferred to train neural networks with large datasets?,Understand
"What are the reasons for neural networks to suffer from overfitting, and what are the possible solutions to overcome overfitting",Understand
"Build and train a Neural Network to represent XOR gate using the ""neuralnet"" library in R language",Create
"Build a train a Neural Network to solve the equation c = 2a + 3, where a is the independent variable and c is the depended variable. You may generate your training and testing datasets.",Create
Build and train a Neural Network to represent decimal values from 0 to 31 in binary.,Create
"Why is random-access memory (RAM) called ""volatile"" memory?",Understand
Briefly explain the factors affecting the performance of a Computer.,Understand
What are the limitations of Moore's law? Why cannot this law hold forever?,Analyze
Convert the following numbers to their equivalents bases mentioned below.,Apply
"What is ""locality of reference""?",Understand
Give two examples for each of the following software.,Remember
Briefly explain the fundamental logic gates with suitable truth tables.,Understand
Write the Boolean expression for the following logic circuits.,Apply
Draw a logic circuit for (A + B) (C + D) CB.,Create
Name the two types of logic gate used in the circuit above.,Remember
"Which part of the circuit, X, Y or Z, is:",Apply
Explain what happens in each part of the circuit when it is both cold and dark.,Understand
Describe a practical use for the above circuit.,Apply
What k random-access memory (RAM)?,Understand
Briefly explain the factors affecting the performance of a Computer.,Understand
Explain the advantages of digital computer while compare to analog computer.,Evaluate
Convert the following numbers to their equivalents bases mentioned below.,Apply
What is the main function of Arithmetic Logical Unit (ALU) in processor?,Understand
List types of busses in the computer system,Remember
Briefly explain the fundamental logic gates with suitable truth tables.,Remember
Use Karnaugh maps to simplify the following sum-of-products (SOP) expressions,Evaluate
Briefly describe the following concepts in Java,Analyze
What are the control structures available in Java? Briefly describe each structure with simple example.,Evaluate
Write a Java program to compute compound interest. Consider the following problem.,Apply
Write a java program to convert the Fahrenheit to Celsius.,Apply
Write a java program to print the pyramid of stars as follows by getting the number of rows as input from the user.,Apply
Create a following multiplication table using nested loops in java.,Create
Write a java program to determine and print which season a particular month is in using switch case control statements in java.,Create
Write the java program in the concept of array to fulfill the following requirements.,Create
Briefly describe the following concepts in Java,Analyze
What are the control structures available in Java? Briefly describe each structure with a simple example,Evaluate
Write a Java program to read the names of users and number of units Consumed and print out the charges with name.,Evaluate
Write a Java program that has variables to hold three test scores,Create
What are the main components of the computer system?,Remember
"Why is Random-Access Memory (RAM) called ""Volatile"" memory?",Understand
List two devices that can perform both input & output operations in a computer system.,Apply
Briefly explain the factors affecting the performance of a Computer.,Analyze
What are the limitations of Moore's law? Why cannot this law hold forever?,Analyze
Explain the use of the following types of the memory/storage in a computer system.,Understand
Convert the following numbers to their equivalents bases mentioned below.,Remember
Briefly explain the Von Neumann architecture of computer with a suitable diagram,Understand
Briefly explain the fundamental logic gates with suitable truth tables,Understand
Write the Boolean expression for the following logic circuit.,Apply
Which part of the system forms the control circuit,Understand
What conditions will stop the washing machine motor working when the power switch is ON? Briefly Explain.,Understand
Complete the truth table for the control system.,Apply
Why must a relay be used to operate the heater?,Understand
What are the main components of the computer system?,Remember
Briefly explain the factors affecting the performance of a Computer,Understand
What are the limitations of Moore's law?,Remember
Explain the use of the following types of the memory/storage in a computer system.,Understand
Name the two types of logic gate used in the circuit above.,Remember
Briefly describe the difference between the do-while loop and while loop,Understand
Write a program that test the summation formula,Apply
Briefly explain the usage of break and continue keywords.,Understand
Write a program to display the name of user by asking the name using a Dialog box.,Apply
What are the Selection Structures available in java? Briefly explain each. ,Understand
What is the Difference between a while statement and if statement?,Understand
Write a program that does the following,Apply
What are the control structures available in Java? Briefly describe each structure with a simple Java program,Understand
What are the differences between while loop and do-while loop?,Understand
What will be the output of the following program segments?,Analyze
Write Java program to evaluate the temperature in Celsius (C) when the input temperature is in Fahrenheit (F).,Apply
What are the control structures available in Java? Iiriet1y describe each structure with a simple Java program,Understand
What are the differences between while loop and do-while loop'?,Understand
What the main functions of Central Processing Unit (CPU)?,Remember
What is the Firmware in a computer system?,Remember
give three (03) examples for permanent storage devices.,Remember
What is translator in computer Software? Give two examples,Remember
What is the purpose of a cache memory in computer system,Remember
covert the following numbers to their equivalents bases mentioned below.,Apply
Explain S-R Latches function using suitable gates and truth table.,Understand
Write the Boolean expression for the following logic circuit.,Apply
Draw a logic circuit for (X + Y) + (X +Z) + (XY).,Create
"Using Boolean algebra rules and techniques, simplify the following expressions.",Analyze
explain what happens in each part of the system when it is both hot and light.,Understand
Briefly explain the factors affecting the performance of a Computer,Understand
What are the limitations of Moore's law? Why cannot this law hold forever?,Analyze
Give three (03) examples for permanent storage devices,Remember
What are the levels of programming language? Explain each briefly,Understand
Name five types of java packages available with JDK and explain the usage of each briefly.,Understand
What is the main difference between following concepts in java,Analyze
Write a program to print the following pattern using nested loops,Apply
Write a program which prints two random numbers and the sum of those two random numbers,Apply
What is the output of the following program,Analyze
"Perform the same output using ""for loop""",Apply
What is the main difference between following concepts in Java?,Analyze
Write a java program to display the name of user by asking the name using a dialog box.,Apply
"Write a java program using if else and switch case statements. First it should ask to enter a number, then according to user selection one of following message should display",Apply
Write a Java program to determine whether an input number is an even number or odd number or equal to zero.,Apply
Briefly explain the generations of computer processor technology,Understand
